Experiment_Num,Model,Extra_Input,Loss_Function,MAE,MSE,RMSE,SSIM,MAPE,Error
1,ConvLSTM,No,Huber,0.1258038729429245,0.029318608343601227,0.17122676968574524,0.0,110.08493900299072,
2,ConvLSTM,No,Physics,0.3550754189491272,0.1990552395582199,0.4461560845375061,0.0,302.49993801116943,
3,ConvLSTM,Yes,Huber,0.10335960239171982,0.017814751714468002,0.13347190618515015,0.0,76.73656344413757,
4,ConvLSTM,Yes,Physics,0.3100261688232422,0.14562629163265228,0.38161012530326843,0.0,279.4233798980713,
5,DA-ConvLSTM,No,Huber,0.11071524024009705,0.02075059525668621,0.14405067265033722,0.0,89.41681981086731,
6,DA-ConvLSTM,No,Physics,0.31887680292129517,0.15575098991394043,0.39465299248695374,0.0,309.76386070251465,
7,DA-ConvLSTM,Yes,Huber,0.09637902677059174,0.01529246848076582,0.12366271764039993,0.0,78.84442806243896,
8,DA-ConvLSTM,Yes,Physics,0.3083009123802185,0.1447308212518692,0.380435049533844,0.0,281.719446182251,
9,Ours,No,Huber,,,,,,name 'hidden_dim' is not defined
10,Ours,No,Physics,,,,,,name 'hidden_dim' is not defined
11,Ours,Yes,Huber,,,,,,name 'hidden_dim' is not defined
12,Ours,Yes,Physics,,,,,,name 'hidden_dim' is not defined
