combo,epoch,mse,rmse,ssim
NO_AEROSOL,5,0.01201969850808382,0.1096343845129013,0.9199549595732018
NO_AEROSOL,10,0.011484081856906414,0.10716380923986435,0.925035723165032
NO_AEROSOL,15,0.011505377478897572,0.10726312547922134,0.9244221176969466
NO_AEROSOL,20,0.012356300838291645,0.11115889996290207,0.9198277792889628
NO_AEROSOL,25,0.013843654654920101,0.1176590621471405,0.9141093244050413
NO_AEROSOL,30,0.015927892178297043,0.12620575726032257,0.9049198483476746
NO_AEROSOL,35,0.015364231541752815,0.12395253777503967,0.9069447317164323
BC,5,0.013464906252920628,0.11603838205337524,0.9111489022959368
BC,10,0.01155177690088749,0.10747919231653214,0.9252559881393141
BC,15,0.01292276568710804,0.11367834359407425,0.921768246247687
BC,20,0.012343229725956917,0.11110008507966995,0.9197184504308688
BC,25,0.014836779795587063,0.1218063235282898,0.9123405302905329
BC,30,0.01542834471911192,0.124210886657238,0.9103150460849209
BC,35,0.014829938299953938,0.12177823483943939,0.9134137120963624
BC,40,0.014657942578196526,0.12106999009847641,0.9141487936907907
SU,5,0.013485563918948174,0.1161273643374443,0.9160885316425835
SU,10,0.011605392210185528,0.10772832483053207,0.9261773772348924
SU,15,0.013329069130122662,0.11545158922672272,0.9171464397836506
SU,20,0.013061890378594398,0.11428862810134888,0.9184975292687285
SU,25,0.013223906047642231,0.11499524116516113,0.9144444454002744
SU,30,0.013236316852271557,0.11504919081926346,0.9121635119244996
SU,35,0.012406128458678722,0.11138280481100082,0.9182107194712676
SU,40,0.01213445421308279,0.11015649884939194,0.9198789134501809
DU,5,0.012842862866818905,0.11332635581493378,0.9178744410969081
DU,10,0.011717629618942738,0.10824800282716751,0.9272481503645826
DU,15,0.011361666023731232,0.1065911129117012,0.9266691511308592
DU,20,0.012633224949240685,0.11239761859178543,0.9208794846917007
DU,25,0.013403546065092087,0.11577368527650833,0.9179663637946611
BC+SU,5,0.013919993303716183,0.11798302084207535,0.9148201906969589
BC+SU,10,0.01286992710083723,0.1134456992149353,0.9216757592318408
BC+SU,15,0.011635529808700085,0.10786811262369156,0.9243975446178682
BC+SU,20,0.0126434825360775,0.1124432384967804,0.9216503540720125
BC+SU,25,0.013408064842224121,0.11579319834709167,0.9183454641194414
BC+SU,30,0.01412785705178976,0.11886066198348999,0.9138367691389606
BC+SU,35,0.013143339194357395,0.11464440077543259,0.9209926618246093
BC+SU,40,0.012888924218714237,0.11352939903736115,0.9222759916099652
BC+DU,5,0.013154593296349049,0.11469347774982452,0.9187083250977119
BC+DU,10,0.011731145903468132,0.10831041634082794,0.9246399266599242
BC+DU,15,0.011601056903600693,0.10770820081233978,0.9229430309285225
BC+DU,20,0.011950344778597355,0.10931763052940369,0.9204724018262673
BC+DU,25,0.01266181655228138,0.11252474039793015,0.9179465875872813
BC+DU,30,0.01495531015098095,0.12229190766811371,0.9113756269302152
BC+DU,35,0.014012731611728668,0.11837538331747055,0.9159029280582489
BC+DU,40,0.01339553389698267,0.11573907732963562,0.9179965633514554
SU+DU,5,0.013221810571849346,0.1149861291050911,0.9189550698159288
SU+DU,10,0.012189100496470928,0.11040426045656204,0.9222758456622375
SU+DU,15,0.01216108538210392,0.11027731001377106,0.9198523625814115
SU+DU,20,0.014258300885558128,0.11940813064575195,0.9107405588546975
SU+DU,25,0.013361132703721523,0.11559036374092102,0.9141008167520713
SU+DU,30,0.014350241981446743,0.11979249864816666,0.9161851369608959
SU+DU,35,0.013495135121047497,0.1161685660481453,0.9187693177963453
SU+DU,40,0.013201595284044743,0.1148981973528862,0.9200258971459294
BC+SU+DU,5,0.015162988565862179,0.12313808500766754,0.9106705003053164
BC+SU+DU,10,0.01158200390636921,0.10761971771717072,0.9233549354090553
BC+SU+DU,15,0.011809942312538624,0.10867355763912201,0.9189950906209866
BC+SU+DU,20,0.011687091551721096,0.10810685157775879,0.920220360793679
BC+SU+DU,25,0.012269606813788414,0.11076825857162476,0.9178642311687043
BC+SU+DU,30,0.01343502476811409,0.11590955406427383,0.9156627994280585
BC+SU+DU,35,0.011782658286392689,0.10854795575141907,0.9212976323392164
BC+SU+DU,40,0.011534851975739002,0.10740042477846146,0.923059618570791
